Status Union Concern,System,Scientific name,Species,Synonyms,Kingdom,Phylum,Organism_Type,Common_Name, N (Total),"N [1971,2010]","N [2010, 2015]",Modelling,LivingLab,LL_Country
Not included,Terrestrial,Pachysandra terminalis Siebold & Zucc.,Pachysandra terminalis,,Plantae,Tracheophyta,Evergreen groundcover,Japanese spurge,,,,Yes,Yes,Belgium
Not included,Terrestrial,Pterocarya fraxinifolia (Poir.) Spach,Pterocarya fraxinifolia,,Plantae,Tracheophyta,Tree,Caucasian wingnut,,,,Yes,Yes,Belgium
Not included,Terrestrial,Zizania latifolia (Griseb.) Hance ex F.Muell.,Zizania latifolia,,Plantae,Tracheophyta,Aquatic grass,Manchurian wild rice,,,,Yes,Yes,Belgium
Not included,Terrestrial,Ehrharta erecta Lam.,Ehrharta erecta,,Plantae,Tracheophyta,Grass,Panic veldtgrass,,,,Yes,Yes,United Kingdom
Not included,Terrestrial,Lamium galeobdolon subsp. argentatum (Smejkal) J.Duvign.,Lamium galeobdolon subsp. argentatum,Lamiastrum galeobdolan subsp. argentatum,Plantae,Tracheophyta,Herbaceous plant,Variegated yellow archangel,,,,Yes,Yes,United Kingdom
Not included,Terrestrial,Muehlenbeckia complexa (A.Cunn.) Meisn.,Muehlenbeckia complexa,,Plantae,Tracheophyta,Woody vine,Maidenhair vine,,,,Yes,Yes,United Kingdom
Not included,Terrestrial,Petasites pyrenaicus (L.) G.López,Petasites pyrenaicus,,Plantae,Tracheophyta,Herbaceous plant,Winter heliotrope,,,,Yes,Yes,United Kingdom
Not included,Terrestrial,"Psittacula krameri (Scopoli, 1769)",Psittacula krameri,,Animalia,Chordata,Bird (parakeet),Ring necked parakeet,,,,Yes,Yes,United Kingdom
Not included,Terrestrial,"Australoplana sanguinea (Moseley, 1877)",Australoplana sanguinea,,Animalia,Platyhelminthes,Flatworm (land planarian),Australian flatworm,,,,Yes,Yes,United Kingdom
Not included,Terrestrial,Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.,Cortaderia selloana,,Plantae,Tracheophyta,Grass,Pampas grass,,,,Yes,Yes,United Kingdom
Not included,Terrestrial,"Linepithema humile (Mayr, 1868)",Linepithema humile,,Animalia,Arthropoda,Insect (ant),Argentine Ant,,,,Yes,Yes,United Kingdom
Not included,Terrestrial,Paulownia tomentosa (Thunb.) Steud.,Paulownia tomentosa,,Plantae,Tracheophyta,Tree,Paulownia tomentosa,,,,Yes,Yes,United Kingdom
Not included,Terrestrial,"Thaumetopoea processionea (Linnaeus, 1758)",Thaumetopoea processionea,,Animalia,Arthropoda,Insect (moth),Oak processionary moth,,,,Yes,Yes,United Kingdom
Not included,Terrestrial,"Agrilus planipennis Fairmaire, 1888",Agrilus planipennis,,Animalia,Arthropoda,Insect (beetle),emerald ash borer,,,,Yes,Yes,Finland
Not included,Terrestrial,Alchemilla mollis (Buser) Rothm.,Alchemilla mollis,,Plantae,Tracheophyta,Herbaceous plant,lady’s mantle,,,,Yes,Yes,Finland
Not included,Terrestrial,Ambrosia artemisiifolia L.,Ambrosia artemisiifolia,,Plantae,Tracheophyta,Herbaceous plant,common ragweed,,,,Yes,Yes,Finland
Not included,Terrestrial,Buddleja davidii Franch.,Buddleja davidii,,Plantae,Tracheophyta,Shrub,butterfly bush,,,,Yes,Yes,Finland
Not included,Terrestrial,Cornus sericea L.,Cornus sericea,,Plantae,Tracheophyta,Shrub,red-osier dogwood,,,,Yes,Yes,Finland
Not included,Terrestrial,Lysimachia nummularia L.,Lysimachia nummularia,,Plantae,Tracheophyta,Herbaceous plant,"Creeping Jenny, Moneywort",,,,Yes,Yes,Finland
Not included,Terrestrial,Aruncus dioicus (Walter) Fernald,Aruncus dioicus,,Plantae,Tracheophyta,Herbaceous plant,Goat's Beard,,,,Yes,Yes,Finland
Not included,Terrestrial,Spiraea × billardii Hérincq,Spiraea × billardii,,Plantae,Tracheophyta,Shrub,Billard’s meadowsweet,,,,Yes,Yes,Finland
Not included,Terrestrial,Spiraea alba Du Roi,Spiraea alba,,Plantae,Tracheophyta,Shrub,white meadowsweet,,,,Yes,Yes,Finland
Not included,Terrestrial,Symphytum officinale L.,Symphytum officinale,,Plantae,Tracheophyta,Herbaceous plant,common comfrey,,,,Yes,Yes,Finland
Not included,Terrestrial,Carpobrotus edulis (L.) N.E.Br.,Carpobrotus edulis,,Plantae,Tracheophyta,Succulent groundcover,Ice plant,,,,Yes,Yes,Portugal
Not included,Terrestrial,Tradescantia fluminensis Vell.,Tradescantia fluminensis,,Plantae,Tracheophyta,Herbaceous vine,small-leaf spiderwort,,,,Yes,Yes,Portugal
Not included,Terrestrial,Acacia dealbata Link,Acacia dealbata,,Plantae,Tracheophyta,Tree,silver wattle,,,,Yes,Yes,Portugal
Not included,Terrestrial,Arundo donax L.,Arundo donax,,Plantae,Tracheophyta,Grass,giant reed,,,,Yes,Yes,Portugal
Not included,Terrestrial,Cotula coronopifolia L.,Cotula coronopifolia,,Plantae,Tracheophyta,Herbaceous plant,golden buttons,,,,Yes,Yes,Portugal
Not included,Terrestrial,Robinia pseudoacacia L.,Robinia pseudoacacia,,Plantae,Tracheophyta,Tree,black locust,,,,Yes,Yes,Portugal
Not included,Terrestrial,Acacia longifolia (Andrews) Willd.,Acacia longifolia,,Plantae,Tracheophyta,Shrub/tree,Sydney golden wattle,,,,Yes,Yes,Portugal
Not included,Terrestrial,Acacia melanoxylon R.Br.,Acacia melanoxylon,,Plantae,Tracheophyta,Tree,Australian blackwood,,,,Yes,Yes,Portugal
Not included,Terrestrial,Baccharis spicata (Lam.) Baill.,Baccharis spicata,,Plantae,Tracheophyta,Shrub,narrow-leaved broom,,,,Yes,Yes,Portugal
Not included,Terrestrial,Phytolacca americana L.,Phytolacca americana,,Plantae,Tracheophyta,Herbaceous plant,American pokeweed,,,,Yes,Yes,Portugal
Not included,Terrestrial,Elaeagnus angustifolia L.,Elaeagnus angustifolia,,Plantae,Tracheophyta,Tree/shrub,Russian olive,,,,Yes,Yes,Romenia
Not included,Terrestrial,Ambrosia tenuifolia Spreng.,Ambrosia tenuifolia,,Plantae,Tracheophyta,Herbaceous plant,lacy ragweed,,,,Yes,Yes,Romenia
Not included,Terrestrial,Ambrosia trifida L.,Ambrosia trifida,,Plantae,Tracheophyta,Herbaceous plant,giant ragweed,,,,Yes,Yes,Romenia
Not included,Terrestrial,Amorpha fruticosa L.,Amorpha fruticosa,,Plantae,Tracheophyta,Shrub,false indigo-bush,,,,Yes,Yes,Romenia
Not included,Terrestrial,"Arion vulgaris Moquin-Tandon, 1855",Arion vulgaris,,Animalia,Mollusca,Gastropod (slug),Spanish slug,,,,Yes,Yes,Romenia
Not included,Terrestrial,"Cameraria ohridella Deschka & Dimi?, 1986",Cameraria ohridella,,Animalia,Arthropoda,Insect (moth),horse-chestnut leaf miner,,,,Yes,Yes,Romenia
Not included,Terrestrial,"Corythucha arcuata (Say, 1832)",Corythucha arcuata,,Animalia,Arthropoda,Insect (true bug),oak lace bug,,,,Yes,Yes,Romenia
Not included,Terrestrial,Cyclachaena xanthiifolia (Nutt.) Fresen.,Cyclachaena xanthiifolia,Euphrosyne xanthiifolia (Nutt.) A.Gray,Plantae,Tracheophyta,Herbaceous plant,giant sumpweed,,,,Yes,Yes,Romenia
Not included,Terrestrial,"Metcalfa pruinosa (Say, 1830)",Metcalfa pruinosa,,Animalia,Arthropoda,Insect (planthopper),citrus flatid planthopper,,,,Yes,Yes,Romenia
Not included,Terrestrial,"Varroa destructor Anderson & Trueman, 2000",Varroa destructor,,Animalia,Arthropoda,Arachnid (mite),varroa mite,,,,Yes,Yes,Romenia
